Title,Price,Link,Details,Extra Details,Description,Detailed Price
Stan na dan Capljina,40 KM,https://olx.ba/artikal/49572803,Tip nekretnine Stan | Broj soba Jednosoban (1) | Kvadratura 47 | Check in (sat) 16 | Check out (sat) 11 | Vrsta grijanja Struja | Pet friendly Ne | Godina izgradnje 2020+ | Sprat 2 | Blizina prodavnice Do 100 m | Blizina restorana 100 do 200 m | Blizina centra 200 do 300 m | Blizina apoteke Do 100 m | Blizina javnog prevoza Do 100 m | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 07.09.2022,Detaljni opis,Stan na dan Capljina,40 KM
Luksuzni apartman sa garažom u zgradi Mellain. Stan na dan Tuzla,120 KM,https://olx.ba/artikal/45722158,Tip nekretnine Apartman | Broj soba Dvosoban (2) | Kvadratura 71 | Check in (sat) 13 | Check out (sat) 10 | Godina izgradnje 2015+ | Sprat 12 | Vrsta grijanja Struja | Pet friendly Ne | Lift ✓ | Klima ✓ | Parking ✓ | Datum objave 01.12.2021,"Detaljni opis
APARTMAN JE ZAUZET ZA NOVU GODINU

Luksuzno uređen apartman se nalazi na atraktivnoj lokaci u Tuzli  . Apartman nudi udobni i luksuzni 71m2. Ono što ovaj apartman čini jedinstvenim je panoramski pogled na grad i panonska jezera sa staklene tarase koja se nalazi na 12 spratu gdje možete takodje uživati u pogledu na grad i zalasku sunca. Apartman se sastoji od dnevnog boravaka ,zatvorene tarase, kuhinju, spavaću sobu, hodnika i kupatilo sa kadom.  Blizina centra grada i Panonskih jezera (10min hoda). U istoj zgradi se nalazi i hotel Mellain(zaseban ulaz).
Pored hotela Mellain, u istom kompleksu je i UniBristol SPA i wellness centar (teretana, bazen, spa), supermarket, hotelski kafić i restoran Mellain. Na sva ta mjesta možete doći bez napuštanja zgrade.




 
Kontakt: +387 62 348 484  (Viber ili WhatsApp dostupan takodje)
 
Kapacitet apartmana: 2 + 2 (2 odrasle osobe + 2 djece do 14 godina

Pregled cijena:

1 osoba: 120 KM po danu

2 osobe: 120 KM po danu

2 osoba + dijete: 140 KM po danu

Doplata za dijete od 0-14 godina 20,00KM po danu.

Napomena: Djeca 15. godina i vise smatraju se kao odrasli


Plaćanje se vrši pri dolasku u apartman!
 
KUĆNI RED :
- Zabranjeno pušenje
- Zabranjeno pusenje nargile
- Zabave nisu dozvoljene
- Hodanje u obući nije dozvoljeno
- Bez buke između 22:00 i 07:00
- Bez kućnih ljubimaca
- Bez neprijavljenih gostiju
- Check-in: 13:00 - 20:00 (moguće i ranije zavisno o raspoloživosti)
- Check-out: 08:00 - 10:00 

Gosti koji se ne budu pridžavali kućnog reda će biti zamoljeni da napuste apartman bez mogućnosti povrata novca!

- Prilikom dolaska u apartman, gosti su dužni da pokažu na uvid jedan od važećih ličnih dokumenata (lična karta, pasoš, vozačka dozvola). Dokument može biti zadržan do napuštanja stana.

Prikaži više",Luksuzni apartman sa garažom u zgradi Mellain. Stan na dan Tuzla,120 KM
Stan na dan Banja Luka - STAN 1,Na upit,https://olx.ba/artikal/28176993,Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 45 | Sprat Prizemlje | Vrsta grijanja Centralno (Kotlovnica) | Godina izgradnje 2020+ | Klima ✓ | Parking ✓ | Datum objave 13.01.2018,"Detaljni opis














Prikaži više",Stan na dan Banja Luka - STAN 1,Na upit
apartman sarajevo stan na dan +387 62631709 whats app,39 KM,https://olx.ba/artikal/45793706,Tip nekretnine Apartman | Sprat 3 | Parking ✓ | Kvadratura 35 | Broj soba Jednosoban (1) | Datum objave 06.12.2021,"Detaljni opis
Izdajem stan na dan bascarsija sarajevo +38762631709 viber imamo stan i u lukavici istocno sarajevo u zgradi sve novo na duzi period popust+38761518800viber",apartman sarajevo stan na dan +387 62631709 whats app,39 KM
"APARTMAN, STAN NA DAN, SMJEŠTAJ STOLAC",80 KM,https://olx.ba/artikal/53276447,Tip nekretnine Apartman | Broj soba Trosoban (3) | Kvadratura 70 | Check in (sat) 13 | Check out (sat) 11 | Sprat 3 | Vrsta grijanja Struja | Pet friendly Ne | Klima ✓ | Parking ✓ | Datum objave 16.05.2023,"Detaljni opis
Izdaje se stan na dan ili više u Stocu u neposrednoj blizini autobuske stanice i hotela Stolac.
Udaljenost od centra grada 400 metara
Stan posjeduje:
2 spavaće sobe za 5+ osoba
Dnevni boravak
Kuhinju
2 balkona
Kupatilo

Wi-Fi
TV sa preko 1300 kanala
Klima uređaj
Parking
Garažu
Organiziranje zabava nije dozvoljeno
Kućni ljubimci nisu dozvoljeni






Prikaži više","APARTMAN, STAN NA DAN, SMJEŠTAJ STOLAC",80 KM
"Stan na dan Konjic Holiday ""STARI PAZAR 2""",Na upit,https://olx.ba/artikal/66331150,Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 110 | Check in (sat) 13 | Check out (sat) 10 | Vrsta grijanja Struja | Minimalan broj noćenja 1 | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra Do 100 m | Blizina apoteke 100 do 200 m | Pet friendly Da | Krevetić za bebe ✓ | Zabranjeno pušenje ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 05.02.2025,"Detaljni opis
STAN NA DAN KONJIC HOLIDAY
STARI PAZAR 2
Potpuno namješten stan sa  stvarima, predviđeno za boravak do 6 osoba
062627397

°°°°°°°°°°°⬇️⬇️
Moderno opremljen stan na super lokaciji

Dnevna soba ✅️
Opremljena kuhinja ✅️
Kupatilo (peškiri, fen, sredstva za higijenu) ✅️
Dvije soba sa bračnim krevetom ✅️
Internet - wifi ✅️
Klima ✅️
Netflix ✅️
Besplatna garaža  ✅️
Supermarket, restoran i kafić u blizini (do 100m)✅️

Udaljenost od Kamene ćuprije 150 m 🥰

Kontakt broj 062 627 397 ☎️

Za više informacije inbox 🥰
Stan na dan Konjic Holiday
STARI PAZAR 2

Uživajte u ljepotama Konjica,
Boračkog i Jablaničkog jezera, kao i naše divne Neretve 🏕🏖🏞⛰️☀️🌊⛱️🚲🚲

Dobrodošli 🤗🥰🤗🥰
Prikaži više","Stan na dan Konjic Holiday ""STARI PAZAR 2""",Na upit
Stan na dan Tuzla,Na upit,https://olx.ba/artikal/65234650,Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 80 | Check in (sat) 13 | Check out (sat) 10 | Vrsta grijanja Centralno (Kotlovnica) | Krevetić za bebe ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 05.12.2024,"Detaljni opis
Stan na dan i duzr 061548447",Stan na dan Tuzla,Na upit
"Stan na dan Doboj, Apartman 066 754 317",50 KM,https://olx.ba/artikal/38565911,Broj soba Jednoiposoban (1.5) | Kvadratura 23 | Check in (sat) 12 | Check out (sat) 10 | Sprat Prizemlje | Vrsta grijanja Centralno (gradsko) | Minimalan broj noćenja 1 | Blizina prodavnice 500 do 600 m | Blizina restorana Do 100 m | Blizina centra 900 do 1000 m | Blizina apoteke 400 do 500 m | Blizina javnog prevoza 600 do 700 m | Klima ✓ | Parking ✓ | Tip nekretnine Apartman | Datum objave 16.06.2020,"Detaljni opis

Apartman  As 23 m2 raspolaze sa 3 ležaja, krevet na razvlačenje - bračni i fotelja na razvlačenje. Apartman kompletno opremljen: kuhinja sa posuđem,klima, kablovska, wifi, caffe aparat, kuhalo, mikrovalna, fen itd... Stan se nalazi u mirnom dijelu grada, lako za pronaći. U neposrednoj blizini magistralnog puta , TC Belamionix, restoran Romansa i Toprek, Caffe bar, Dm, Jysk, Planika, Market Đuric, pekare, sportsko i dječije igralište te ostali mnogobrojni sadržaj. Besplatan javni parking. Održavanje žurki u stanu je strogo zabranjeno. 
Sve informacije i rezervacije na telefon 066 754 317","Stan na dan Doboj, Apartman 066 754 317",50 KM
Stan na dan Pale,Na upit,https://olx.ba/artikal/46141345,Kvadratura 56 | Tip nekretnine Stan | Broj soba Dvosoban (2) | Sprat 4 | Vrsta grijanja Struja | Parking ✓ | Datum objave 30.12.2021,"Detaljni opis
Prodavač nije upisao detaljne informacije.",Stan na dan Pale,Na upit
"Apartman ""AURA"" Bulevar premium, Sarajevo (Stan na Dan)",70 KM,https://olx.ba/artikal/52554453,Tip nekretnine Apartman | Broj soba Jednosoban (1) | Kvadratura 33 | Check in (sat) 14 | Check out (sat) 11 | Godina izgradnje 2020+ | Sprat 8 | Vrsta grijanja Centralno (gradsko) | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina apoteke 100 do 200 m | Blizina javnog prevoza 100 do 200 m | Pet friendly Ne | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 30.03.2023,"Detaljni opis
Studio apartman “AURA” se nalazi u novoizgradjenom kompleksu Bulevar u Sarajevu.

-Kapacitet apartmana je maksimalno 2 osobe.

-Apartman nudi klimatizovan smeštaj sa terasom/ili balkonom sa panoramskim pogledom na grad. Apartman sadrži spavaću sobu, sa flat-screen TV-om, satelitskim kanalima, EON paketom i 5G Wi-Fi. Opremljenu kuhinju, kupatilo sa tuš kabinom i veš mašinom.

-Pušenje cigareta/elektricnih cigareta u apartmanu je strogo zabranjeno, dozvoljeno je isključivo na terasi / balkonu.

-Gosti mogu uživati u raznim restoranima, caffe barovima koji se nalaze oko kompleksa, a djeca mogu uživati u dječjem igralištu pored zgrade.

Kucni ljubimci nisu dozvoljeni!


Nova Godina dani ( 30, 31, 01, 02 Dec.)
100 KM po nocenju, minimalno 3 nocenja.


Prijava od 14:00 sati

Odjava do 11:00 sati

Kontakt telefon:

062 936 833 - Zemira
Prikaži više","Apartman ""AURA"" Bulevar premium, Sarajevo (Stan na Dan)",70 KM
Stan na dan,Na upit,https://olx.ba/artikal/66231083,Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 90 | Check in (sat) 14 | Check out (sat) 11 | Vrsta grijanja Struja | Minimalan broj noćenja 1 | Pet friendly Ne | Zabranjeno pušenje ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 31.01.2025,"Detaljni opis
Prelijep, čist i prostran stan, parking osiguran. Cijena varira u zavisnosti od broja osoba (max 5).
Sve info na broj:
+38762228398",Stan na dan,Na upit
STAN NA DAN APARTMAN LUX DOBOJ,60 KM,https://olx.ba/artikal/59190777,Pet friendly Ne | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Tip nekretnine Stan | Broj soba Jednoiposoban (1.5) | Kvadratura 51 | Check in (sat) 12 | Check out (sat) 11 | Godina izgradnje 2020+ | Sprat 8 | Vrsta grijanja Struja | Minimalan broj noćenja 1 | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra 100 do 200 m | Blizina apoteke Do 100 m | Blizina javnog prevoza Do 100 m | Datum objave 26.02.2024,"Detaljni opis
Izdajem luksuzno opremljen apartman u Doboju. Nalazi se na veoma pogodnoj i atraktivnoj lokaciji u ulici Jug Bogdana u zgradi ANIKA 2 na 8. spratu.(posjeduje lift) U blizini zgrade se nalaze: Caffe & Restaurant Visage-50m od apartmana, Ulster Irish Pub-50m od apartmana, Night Club Podrum- 80m od apartmana, Night Club Trezor- 800m od apartmana Autobuska stanica Trebava Express-80m od apartmana, Supermarket Đurić- 50m od apartmana, Nova Banka- 200m od apartmana, Boulevard Cafeteria- 400m od apartmana, Trzni centar Bingo-350m od apartmana, Te mnogi drugi poznati lokali. Apartman je kapaciteta do 4 osobe. Obavezno je postovanje i pridrzavanje kucnog reda, te je zabranjeno pravljenje buke kao i organizovanje bilo kakvih zurki i proslava. Nocenje u apartmanu ukljucuje: Besplatan wi-fi, Besplatan parking, Besplatno koristenje Netflix naloga(na smart TV-u), Takodje se mozete posluziti kafom, cajevima kao i sokovima koji se nalaze u apartmanu. Ako zelite da rezervisete vase prenociste ili dnevni odmor kontaktirajte nas na broj: 066-792-645

Cjenovnik za 2 osobe:
Dnevni odmor- 60km
Prenociste- 70km
Prikaži više",STAN NA DAN APARTMAN LUX DOBOJ,60 KM
[IZNAJMLJIVANJE] Stan na dan Oaza Tuzla,50 KM,https://olx.ba/artikal/60608316,Vrsta grijanja Centralno (gradsko) | Blizina prodavnice Do 100 m | Blizina centra Preko 1000 m | Blizina javnog prevoza 300 do 400 m | Pet friendly Ne | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 48 | Check in (sat) 13 | Check out (sat) 11 | Godina izgradnje 2020+ | Sprat 7 | Datum objave 28.04.2024,"Detaljni opis
Stan na dan Oaza Tuzla

Izdaje se stan na dan ili vise dana.

Stan se nalazi u naselju Oaza Mosnik.

Stan je predvidjen za 2 osobe i cijena je  50 KM za svaku dodatnu osobu naplacuje se dodatno 10 KM. Max 4 osobe..

Check in po dogovoru , Check out po dogovoru

Parking mjesto obezbjedjeno.

Takodjer, mimo stana moguce je iznajmiti i automobile.

Za vise informqcija zvati na broj ili Viber/WhatsApp 062/119-292 Mirza
Prikaži više",[IZNAJMLJIVANJE] Stan na dan Oaza Tuzla,50 KM
"Stan na dan - Apartman La Valletta, Doboj",60 KM,https://olx.ba/artikal/51170708,Tip nekretnine Apartman | Broj soba Jednosoban (1) | Kvadratura 39 | Check in (sat) 12 | Check out (sat) 10 | Godina izgradnje 2020+ | Sprat 8 | Vrsta grijanja Centralno (gradsko) | Pet friendly Ne | Lift ✓ | Parking ✓ | Datum objave 30.12.2022,"Detaljni opis
Funkcionalan, moderno opremljen stan sa spavaćom sobom, kupatilom, dnevnim boravkom i balkonom.

Wi-Fi + kablovska TV + Smart TV
Parking
Lift

OBJEKAT ZA NEPUŠAČE!!! Pušenje dozvoljeno samo na balkonu.

065 917 405


Prikaži više","Stan na dan - Apartman La Valletta, Doboj",60 KM
Apartman Sarajevo Centar Trosoban do 10 osoba,300 KM,https://olx.ba/artikal/28972139,Tip nekretnine Apartman | Broj soba Trosoban (3) | Kvadratura 85 | Check in (sat) 15 | Check out (sat) 11 | Vrsta grijanja Centralno (Plin) | Godina izgradnje 2010+ | Sprat 1 | Klima ✓ | Parking ✓ | Datum objave 05.02.2025,"Detaljni opis
 Apartman Sarajevo Centar Drvenija za 10 + osoba 80 m2.
Cijena se odnosi na 1 noć do 5 osobe, dodatne osobe dodatno 20 KM doplata. 
Apartman se nalazi u centru Grada, lokacija Drvenija, Hamdije Kresevljakovica do broja 60.                                                                Apartman je udljen par minuta od Ferhadije i Narodnog Pozorišta . Sa lijeve strane na par minuta je BBI-Centar i Skenderija , sa desne strane u blizini je Bascarsija.                                        
Na par koraka je gradski prevoz . 
                                                                                                      Spavaaća Soba broj 1 je opremljena sa 2 udobna ležaja samca i 1 krevet na sprat . 

Spavaća Soba broj 2 je opremljena sa 2 singl ležaja sastavljena u cijelini bračnog kreveta koji se mogu po potrebi rastaviti /prikaz u galeriji slika . 












Prikaži više",Apartman Sarajevo Centar Trosoban do 10 osoba,300 KM
Stan na dan--dnevni boravak--SARAJEVO--Hrasno- 061 984 460,40 KM,https://olx.ba/artikal/49646935,Tip nekretnine Stan | Broj soba Jednosoban (1) | Kvadratura 33 | Check in (sat) 12 | Check out (sat) 10 | Godina izgradnje 1970 do 1979 | Vrsta grijanja Centralno (gradsko) | Pet friendly Ne | Sprat 11 | Lift ✓ | Klima ✓ | Parking ✓ | Datum objave 13.09.2022,"Detaljni opis
Stan na dan--noć----Hrasno--Trg heroja 061 984 460 Viber--WhatsApp,
Kuhinja uredna sa aparatima i posudjem,
Kupatilo uredno sa rucnicima i fenom,
Kablovska tv,
Klimatizirano,
Blindo vrata,
Dnevni boravak---40KM,
Noc-------50KM,
Prijava ----po dodgovoru,
Odjava----do 10 sati,



Prikaži više",Stan na dan--dnevni boravak--SARAJEVO--Hrasno- 061 984 460,40 KM
Stan na dan Vogošća,70 KM,https://olx.ba/artikal/62424936,Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 40 | Check in (sat) 14 | Check out (sat) 11 | Sprat 5 | Vrsta grijanja Plin | Minimalan broj noćenja 1 | Blizina prodavnice 200 do 300 m | Blizina restorana 400 do 500 m | Blizina centra 400 do 500 m | Blizina apoteke 400 do 500 m | Blizina javnog prevoza 400 do 500 m | Pet friendly Ne | Zabranjeno pušenje ✓ | WIFI ✓ | Datum objave 02.07.2024,"Detaljni opis
Stan na dan Vogosca

Potpuno opremljen za boravak

Popust za boravak vise dana


Rezervacije na broj:
062 004 660
Veber, Whatsapp,

Prikaži više",Stan na dan Vogošća,70 KM
Apartmani BET Gradacac,80 KM,https://olx.ba/artikal/39655937,Tip nekretnine Apartman | Kvadratura 40 | Sprat Prizemlje | Broj soba Dvosoban (2) | Datum objave 05.02.2025,"Detaljni opis
Apartmani BET Gradacac

Iznajmljivanje moderno opremljenih apartmana u prizemlju zgrade radio BET Gradacac. Posjedujemo 2 moderno opremljena apartmana
Apartmani se sastoje od spavace sobe, kupatila sa WC-om i dnevni boravak
Svaki apartman je opremljen klimom, centralno grijanje, LED TV, kablovska TV, Internet, vlastiti parking ispred zgrade osiguran video nadzorom itd.
Cijena: 80 KM/dan

Kontakt tel. 061 281 708",Apartmani BET Gradacac,80 KM
Stan na dan Bihać,60 KM,https://olx.ba/artikal/66224003,Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 65 | Check in (sat) 14 | Check out (sat) 10 | Sprat 1 | Vrsta grijanja Centralno (Kotlovnica) | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra 500 do 600 m | Blizina apoteke 200 do 300 m | Krevetić za bebe ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 31.01.2025,"Detaljni opis
Stan na dan Bihać info: +38762409965 (mob, viber, whatsapp) Stan sa jednom spavaćom sobom, dnevni boravak, kuhinja i wc. Besplatan parking ispred objekta. Svim svojim gostima želimo ugodan boravak Stojimo vam na raspolaganju Dobro Nam Došli !",Stan na dan Bihać,60 KM
Stan na dan Bosanska Krupa od 40KM,40 KM,https://olx.ba/artikal/49865453,Tip nekretnine Stan | Broj soba Trosoban (3) | Kvadratura 70 | Check in (sat) 15 | Check out (sat) 12 | Godina izgradnje 2010+ | Sprat 3 | Vrsta grijanja Centralno (Kotlovnica) | Pet friendly Ne | Zabranjeno pušenje ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 28.09.2022,"Detaljni opis
Sprat kuce sa zasebnim ulazom na dan 1 osobe 40KM,2osobe 50,3 osobe 60 i 4 osoba 70KM,5 osoba 80 KM,6 osoba 90KM i 7 osoba 100KM.Stan se nalazi u ulici Sokak i potpuno je opremljen,tel 061443782 ili 062068867 viber ili mess.Parking osiguran..PUSENJE NIJE DOZVOLJENO U OBJEKTU VEC NA BALKONU.IZLAZ DO 12   ULAZ OD 15.            KLIMATIZIRANO ,WIFI DOSTUPAN",Stan na dan Bosanska Krupa od 40KM,40 KM
"Stan na dan Istočno Sarajevo, Lukavica",50 KM,https://olx.ba/artikal/62508138,Tip nekretnine Stan | Broj soba Jednosoban (1) | Kvadratura 47 | Check in (sat) 13 | Check out (sat) 11 | Godina izgradnje 2020+ | Sprat 6 | Vrsta grijanja Struja | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra Do 100 m | Blizina apoteke Do 100 m | Krevetić za bebe ✓ | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 08.07.2024,"Detaljni opis
NL Prestige je nov i moderno  opremljen apartman.  Smješten je na atraktivnoj lokaciji  u strogom centru Istočnog Novog Sarajeva. Od aerodroma je udaljen 2 kilometra, od centra Sarajeva 7 kilometara, olimpijske planina Jahorina (19 km), te planine Bjelašnica (30 km), Trebević (9 km) i Ravna planina (26 km).


Stan je u potpunosti opremljen i sastoji se od: 


Dnevne sobe za prestižno opuštanje i odmor. Raspolaže sa svim potrebnim za potpuni ugođaj (WIFI, klima, digitalni sustav centralnog grijanja, Tv 65 inch s Natflix-om, luxuznim namještajem i  rasvjetom)


 koja nudi apsolutnu udobnost i zadovoljstvo s bračnim krevetom  i memory madracem. Rasvjeta i dekoracije pobrinuti će se za ugođaj, dok će veliki ormar pohraniti sve Vaše stvari.  Na zahtjev gosta može se postaviti i dodatni diječiji krevetac s memory madracom.


koji se  se može koristiti tijekom cijele godine, s prekrasnim pogledom na grad i vrhove Trebevića.  Savršeno mjesto za jutarnju kavu ili večernje opuštanje.



 gdje možete uživati u gastronomskim delicijima.  Opremljena je svim neophodnim aparatima i posuđem. Svaki gost na raspolaganju ima mogućnost korištenja  mini bara uz naknadu.  Za naše drage goste osigurali smo besplatno konzumiranje različitih vrsta čajeva i kave.



 je  je opremljeno svim potrebnim aparatima, kozmetičkim i higijenskim potrepštinama. Udobni bade mantili i mekani ručnici opustiti će vaša tijela i osigurati notu luksuza. 



Sigurnost naših gostiju je na vrhu prioriteta. Video nadzor pokriva zgradu, ulaz, te ulaz na parking.  Sigurnosna  vrata. Interfon, senzori isl.  pobrinuti će se za vašu apsolutnu sigurnost i ugodan boravak. Za lagodan dolazak iz prizemlja do apartmana na raspolaganju je moderan lift. 



Za naše drage goste postoji mogućnost dogovora transporta od Aerodroma Sarajevo do NL Prestige apartmana i obrnuto luksuznim automobilom s vozačem.



U neposrednoj blizini Apartmana nalaze se poznati prestižni restorani i kafići, shopping centri, trgovi i parkovi, saloni za uljepšavanje, bankomati, teretana isl.



Zbog konfora naših gostiju NL Prestige je namjenjen za najviše 4 osobe (2+2).



Dolazak gostiju u Apartman je poslije 13 sati, a izlazak do 11.00 sati, uz mogućnost dogovora.

Cijena po danu:

Cijena za jednu osobu 50 KM
Cijena za dvije osobe 60 KM noćenje
Cijena za tri osobe 70 KM noćenje
Cijena za četiri osobe 80 KM noćenje

Djeca do 10 godina ne plaćaju smještaj



Plaćanje se vrši po preuzimanju ključa.



Održavanje zabava u stanu nije dozvoljeno i potrebno je poštivanje kućnog reda.



Kontaktirajte nas za dodatne informacije, rado smo Vam na usluzi putem telefona/ WhatsApp-a na  ili  putem maila:



Želimo da  boravak u NL Prestige apartmanima budu trenutci koje ćete se s radošću sjećati.



Vaš, NL Prestige
Prikaži više","Stan na dan Istočno Sarajevo, Lukavica",50 KM
Stan na dan Bihać,60 KM,https://olx.ba/artikal/66220466,Tip nekretnine Apartman | Broj soba Jednoiposoban (1.5) | Kvadratura 40 | Check in (sat) 13 | Check out (sat) 12 | Datum objave 30.01.2025,"Detaljni opis
Prodavač nije upisao detaljne informacije.",Stan na dan Bihać,60 KM
Stan na dan Zivinice,Na upit,https://olx.ba/artikal/66311963,Blizina javnog prevoza Do 100 m | WIFI ✓ | Klima ✓ | Parking ✓ | Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 56 | Check in (sat) 12 | Check out (sat) 10 | Vrsta grijanja Struja | Minimalan broj noćenja 2 | Pet friendly Ne | Godina izgradnje 2000 do 2009 | Sprat 4 | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra Do 100 m | Blizina apoteke Do 100 m | Datum objave 04.02.2025,"Detaljni opis
Stan je smješten u samom centru Živinica sa besplatnim parkingom u krugu zgrade.
Za više informacija i rezervacije, kontaktirati na 061 522 298",Stan na dan Zivinice,Na upit
Apartman apartmani sobe prenociste,40 KM,https://olx.ba/artikal/47549892,Tip nekretnine Apartman | Broj soba Petosoban i više | Kvadratura 70 | Check in (sat) 14 | Check out (sat) 10 | Godina izgradnje 2020+ | Vrsta grijanja Centralno (Plin) | Minimalan broj noćenja 1 | Sprat 2 | Blizina prodavnice Do 100 m | Blizina restorana 200 do 300 m | Blizina centra 200 do 300 m | Blizina apoteke 200 do 300 m | Blizina javnog prevoza Do 100 m | Krevetić za bebe ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 04.04.2022,"Detaljni opis
APARTMANI KALABA

IZDAJEMO SOBE / APARTMANE
 ZA PRENOCISTE / KOMPLETAN STAN/SPRAT

PRIVATNOST 100 %. KOMPLETNI APARTMANI SU ZASEBNI.
ULAZI SU ZASEBNI.
+38761744033 Viber 24h
Nalazimo se u blizini centra i panonskih jezera.
(Blizu kruznog toka skver)















Prikaži više",Apartman apartmani sobe prenociste,40 KM
"BEZ PROVIZIJE Stan na dan Banja Luka ""Tepić"" 0126 065/945-957",40 KM,https://olx.ba/artikal/28968379,Tip nekretnine Apartman | Broj soba Trosoban (3) | Kvadratura 78 | Check in (sat) 14 | Check out (sat) 10 | Datum objave 16.03.2018,"Detaljni opis
REZERVIŠITE BEZ PROVIZIJE!!!
SAMO ZA VAS E-AGENCY NUDI NAJVEĆI IZBOR APARTMANA!!!


Od naše ponude apartman izdvajamo apartman 0126 u naselju Starčevica sa dvije spavaće sobe.
Apartman veličine 78m2 nudi dvije odvojene spavaće sobe sa 4 zasebna kreveta. Ovaj apartman može da bude fizički odvojen sa po jednom spavaćom sobom jer nudi dvije kuhinje, dvije sobe, dva kupatila i dvije terase. Jedna cjelina apartmana sačinjava stan od 54m2 i sastoji se od spavaće sobe, dnevne sa velikom ugaonom garniturom, kuhinje i trpezarije. Drugi dio stana od 30m2 čini spavaća soba spojena sa kuhinjom i izlazom na balkon. Jako lijepo namješten objekat sa veš mašinom, frižiderom, posudjem, mašinom za pranje suđa.. *Ovaj apartman je pet frendli apartman. Cijena noćenja za dvije osobe 40KM, za svaku sledeću osobu dodatnih 20KM.  
Prikaži više","BEZ PROVIZIJE Stan na dan Banja Luka ""Tepić"" 0126 065/945-957",40 KM
Stan na dan Vareš,40 KM,https://olx.ba/artikal/66218813,Tip nekretnine Stan | Broj soba Jednosoban (1) | Kvadratura 40 | Check in (sat) 12 | Check out (sat) 15 | Vrsta grijanja Struja | Datum objave 30.01.2025,"Detaljni opis
Mogućnost rentanja na duži period. Provjera dostupnosti na broj: 062992749 (Viber WhatsApp )",Stan na dan Vareš,40 KM
Sunset panorama - moderan stan na dan,70 KM,https://olx.ba/artikal/57476214,Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 52 | Check in (sat) 15 | Check out (sat) 11 | Godina izgradnje 2015+ | Vrsta grijanja Centralno (Kotlovnica) | Minimalan broj noćenja 1 | Pet friendly Ne | Sprat 10 | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra Preko 1000 m | Blizina apoteke Do 100 m | Blizina javnog prevoza 200 do 300 m | Krevetić za bebe ✓ | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 18.12.2023,"Detaljni opis
KONTAKTIRAJTE NAS TELEFONOM ILI PREKO VIBERA, ne provjeravamo OLX poruke redovno!!!

Dizajnerski uređen, osunčan stan u novogradnji sa fantastičnim panoramskim pogledom prema jugu i zapadu. Max 4 osobe. Spavaća soba sa bračnim krevetom, dnevna studio soba sa udobnom sofom na razvlačenje, jedno kupatilo, dva balkona.

Cijene po broju osoba:
1 osoba - 70 KM
2 osobe - 80 KM
3-4 osobe - 100 KM


Prikaži više",Sunset panorama - moderan stan na dan,70 KM
